n,t
16,0.28071
32,0.0060966
64,0.00497961
128,0.0102816
256,0.00746465
512,0.0117733
1024,0.022429
2048,0.0317173
4096,0.0620244
8192,0.135816
16384,0.213427
32768,0.4385
65536,0.873982
131072,1.74467
