n,t
16,0.13499
32,0.0373011
64,0.0458126
128,0.0101914
256,0.00687075
512,0.0107429
1024,0.0181093
2048,0.0326338
4096,0.0642054
8192,0.176429
16384,0.262858
32768,0.581729
65536,0.954159
131072,1.91147
