n,t
16,0.0185292
32,0.00471044
64,0.0117714
128,0.00775409
256,0.0133209
512,0.0176678
1024,0.0297935
2048,0.0570967
4096,0.097893
8192,0.188301
16384,0.379493
32768,0.723097
65536,1.5455
131072,3.13886
