n,t
16,0.00190043
32,0.00332904
64,0.00588036
128,0.0114553
256,0.0210123
512,0.0377386
1024,0.063035
2048,0.193155
4096,0.259377
8192,0.49173
16384,0.983135
32768,1.96758
65536,3.96432
131072,8.00288
