n,t
16,0.002882
32,0.0037384
64,0.00452423
128,0.00751972
256,0.0171998
512,0.063221
1024,0.0725052
2048,0.094065
4096,0.131338
8192,0.298212
16384,0.555781
32768,1.15564
65536,2.21733
131072,4.56969
