n,t
16,0.109613
32,0.027056
64,0.00538874
128,0.00592899
256,0.00749755
512,0.0113096
1024,0.0221899
2048,0.0487518
4096,0.0771897
8192,0.14999
16384,0.306908
32768,0.558276
65536,1.10847
131072,2.21097
