n,t
16,0.00846696
32,0.00681257
64,0.00464606
128,0.0138006
256,0.0169094
512,0.0275877
1024,0.0340896
2048,0.133897
4096,0.124022
8192,0.239159
16384,0.416909
32768,0.856807
65536,1.63613
131072,3.06794
